Date,AAPL,AMZN,BRK-B,DIS,GOOGL,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,V,WMT,XOM
2019-10-23,58.69873046875,88.1084976196289,210.9600067138672,128.7584228515625,62.65437316894531,111.4057388305664,107.72718811035156,46.44804382324219,253.2836456298828,185.44161987304688,130.56114196777344,271.2699890136719,4.853307723999023,118.21793365478516,27.439701080322266,108.0596694946289,16.978666305541992,164.82061767578125,36.74455261230469,53.59726333618164
2019-10-24,58.7952766418457,89.03900146484375,210.25999450683594,127.90414428710938,62.72810745239258,109.34745025634766,107.64969635009766,46.42252731323242,260.9544982910156,185.67076110839844,133.1297149658203,271.5,4.897340297698975,118.59637451171875,27.1561279296875,109.63224792480469,19.978666305541992,169.47695922851562,36.66758346557617,53.09010696411133
2019-10-25,59.51942443847656,88.06649780273438,211.8000030517578,128.53256225585938,62.98666763305664,110.07644653320312,108.51071166992188,45.691463470458984,262.3527526855469,187.17501831054688,133.8812713623047,276.82000732421875,5.088397026062012,117.52128601074219,27.439701080322266,108.27930450439453,21.875333786010742,171.1028594970703,36.64911651611328,53.213050842285156
2019-10-28,60.11562728881836,88.85399627685547,212.86000061035156,128.1692657470703,64.2162094116211,110.78827667236328,108.92395782470703,45.538455963134766,267.92620849609375,188.6792449951172,137.1729278564453,281.8599853515625,5.144371509552002,117.46109771728516,27.820295333862305,108.48137664794922,21.847333908081055,173.0173797607422,36.70453643798828,52.74431228637695
2019-10-29,58.725284576416016,88.135498046875,213.00999450683594,127.13824462890625,62.805328369140625,110.73680877685547,108.85508728027344,45.4024543762207,266.3338317871094,188.589599609375,135.87908935546875,281.2099914550781,5.048095226287842,117.0396499633789,28.514301300048828,108.58678436279297,21.08133316040039,170.8912353515625,36.06723403930664,52.59062957763672
2019-10-30,58.71803283691406,88.99949645996094,213.25,127.25609588623047,62.807315826416016,113.92717742919922,108.2524185180664,45.85298156738281,269.11077880859375,187.53363037109375,137.57244873046875,291.45001220703125,5.050086498260498,117.74488830566406,28.715795516967773,109.7640380859375,21.000667572021484,172.44972229003906,36.35972213745117,52.03738021850586
2019-10-31,60.04562759399414,88.83300018310547,212.5800018310547,127.5702896118164,62.71266174316406,113.24107360839844,107.55498504638672,46.2695198059082,268.78070068359375,190.92068481445312,136.3927764892578,287.4100036621094,5.000829696655273,117.97711181640625,28.633697509765625,109.38626861572266,20.994667053222656,172.0745391845703,36.10110092163086,51.9221076965332
2019-11-01,61.74977111816406,89.5719985961914,215.8300018310547,130.34912109375,63.382728576660156,112.52067565917969,110.03466033935547,45.8189811706543,270.9557189941406,192.88319396972656,136.72576904296875,286.80999755859375,5.039885997772217,117.77069091796875,28.648624420166016,108.82400512695312,20.887332916259766,174.0660400390625,36.21194076538086,53.481990814208984
2019-11-04,62.15529251098633,90.23300170898438,217.97999572753906,130.5160369873047,64.24759674072266,111.68877410888672,110.91287994384766,45.172935485839844,268.3146057128906,193.97901916503906,137.51536560058594,292.8599853515625,5.236665725708008,116.24837493896484,28.379980087280273,104.60702514648438,21.1646671295166,172.16114807128906,36.19654846191406,55.0726318359375
2019-11-05,62.065975189208984,90.08550262451172,220.8800048828125,129.07261657714844,64.3387680053711,111.85173034667969,111.15394592285156,44.56087112426758,261.19720458984375,193.58053588867188,137.42974853515625,288.0299987792969,5.2145256996154785,115.25926971435547,27.969541549682617,104.45767974853516,21.148000717163086,169.6790008544922,36.59370040893555,56.16377258300781
2019-11-06,62.092529296875,89.78849792480469,222.0,128.8958740234375,64.31734466552734,112.31485748291016,111.32616424560547,44.88390350341797,262.0322265625,190.8210906982422,137.04922485351562,288.5899963378906,5.165269374847412,115.62908172607422,28.06655502319336,105.7052001953125,21.77199935913086,170.0638427734375,36.790733337402344,54.9343147277832
2019-11-07,62.809146881103516,89.41000366210938,222.74000549316406,130.55531311035156,65.11096954345703,112.71792602539062,111.9288330078125,44.45036697387695,264.8772888183594,189.69537353515625,137.23948669433594,289.57000732421875,5.182931423187256,114.66580963134766,27.810373306274414,105.09024810791016,22.369333267211914,171.66087341308594,37.015480041503906,56.10230255126953
2019-11-08,62.981056213378906,89.29399871826172,221.30999755859375,135.4648895263672,65.2136001586914,114.06436920166016,112.2560043334961,44.382362365722656,266.9164123535156,190.11378479003906,138.85671997070312,291.57000732421875,5.169000148773193,114.50238037109375,27.915851593017578,105.1605224609375,22.47599983215332,172.1803741455078,36.77226257324219,55.03688049316406
2019-11-11,63.479793548583984,88.5824966430664,220.85000610351562,134.26695251464844,64.67953491210938,113.18962097167969,111.85995483398438,44.06782913208008,268.9652099609375,188.88845825195312,138.9994659423828,294.17999267578125,5.178952693939209,113.86592864990234,27.825450897216797,104.83545684814453,23.006000518798828,172.72874450683594,36.64911651611328,54.702484130859375
2019-11-12,63.42167282104492,88.9000015258789,220.88999938964844,136.07366943359375,64.626220703125,112.6493148803711,111.20561218261719,43.95732116699219,269.1011047363281,193.72996520996094,139.9127197265625,292.010009765625,5.2145256996154785,113.51329803466797,27.8555850982666,104.78273010253906,23.32866668701172,172.92120361328125,36.67374801635742,53.948116302490234
2019-11-13,64.02935791015625,87.65550231933594,219.77000427246094,146.03028869628906,64.57491302490234,112.58070373535156,110.62012481689453,44.55237579345703,270.00421142578125,192.454833984375,140.1410675048828,283.1099853515625,5.188652992248535,114.6399917602539,27.576799392700195,105.99512481689453,23.073999404907227,172.6036834716797,37.24638748168945,53.50484085083008
2019-11-14,63.58631134033203,87.7300033569336,219.36000061035156,144.48867797851562,65.22106170654297,112.31485748291016,110.72344970703125,44.7393913269043,271.5189514160156,192.41497802734375,140.85458374023438,289.6199951171875,5.219003200531006,114.6744155883789,27.539127349853516,105.86334228515625,23.290000915527344,173.22044372558594,37.1447868347168,53.27153396606445
2019-11-15,64.34169006347656,86.97450256347656,219.74000549316406,142.05352783203125,66.43616485595703,115.72821807861328,111.52417755126953,44.77338790893555,272.63555908203125,194.35755920410156,142.67161560058594,295.0299987792969,5.079690933227539,115.08724212646484,28.08915138244629,105.89849090576172,23.47800064086914,173.23974609375,36.59677505493164,53.80814743041992
2019-11-18,64.66610717773438,87.62650299072266,219.35000610351562,144.9796142578125,65.7536392211914,115.63385772705078,112.46263122558594,45.07942199707031,272.71319580078125,196.64878845214844,143.0236053466797,302.57000732421875,5.280948162078857,115.30227661132812,28.043949127197266,107.08451080322266,23.332666397094727,173.13369750976562,37.021636962890625,53.28709030151367
2019-11-19,64.4699935913086,87.6395034790039,219.02999877929688,145.69642639160156,65.3924560546875,115.62532043457031,112.42820739746094,45.121917724609375,277.0340881347656,198.56150817871094,143.07118225097656,302.6000061035156,5.174224376678467,115.74089050292969,28.375473022460938,106.67160034179688,23.968000411987305,176.13075256347656,36.91080093383789,52.742706298828125
2019-11-20,63.71945571899414,87.27649688720703,217.47999572753906,144.2726593017578,64.8578872680664,116.58584594726562,111.61026763916016,45.240928649902344,277.1021423339844,196.7583770751953,142.8229522705078,305.1600036621094,5.253582000732422,115.02706146240234,27.915851593017578,107.4359130859375,23.481332778930664,175.06105041503906,36.676822662353516,52.906009674072266
2019-11-21,63.433773040771484,86.7354965209961,216.6300048828125,144.24317932128906,64.77220153808594,117.01466369628906,111.86857604980469,45.0199089050293,276.1991271972656,197.17678833007812,142.68931579589844,311.69000244140625,5.228705406188965,115.17325592041016,28.43575668334961,105.72277069091797,23.655332565307617,173.35533142089844,36.901573181152344,54.18142318725586
2019-11-22,63.37809753417969,87.28600311279297,217.9600067138672,145.60804748535156,64.44986724853516,118.41255950927734,112.60899353027344,45.07942199707031,274.3736877441406,198.06341552734375,142.79434204101562,310.4800109863281,5.246368885040283,115.31086730957031,28.880298614501953,105.67884826660156,22.202667236328125,172.95059204101562,36.74762725830078,53.948116302490234
